آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,15,11,4,73.3,26.7,2.75,2019-01-12_2019-01-16|2020-01-15_2020-01-19|2020-05-13_2020-05-17|2021-01-14_2021-01-18|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-10-11_2024-10-15|2025-04-11_2025-04-15
0.0,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-09-12_2024-09-16
0.0,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2022-05-12_2022-05-16|2022-09-14_2022-09-18|2024-11-14_2024-11-18
0.1,1,PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2019-01-12_2019-01-16|2020-01-15_2020-01-19|2021-10-14_2021-10-18|2022-05-12_2022-05-16|2022-09-14_2022-09-18|2023-05-11_2023-05-15|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.1,1,PPI m/m,Good,10,7,3,70.0,30.0,2.33,2020-05-13_2020-05-17|2021-01-14_2021-01-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2025-04-11_2025-04-15
0.1,1,PPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17
0.2,1,PPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2019-01-12_2019-01-16|2020-01-15_2020-01-19|2021-01-14_2021-01-18|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-05-11_2023-05-15|2024-01-12_2024-01-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.2,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2025-04-11_2025-04-15
0.2,1,PPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17
0.3,1,PPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2019-01-12_2019-01-16|2020-01-15_2020-01-19|2021-01-14_2021-01-18|2021-05-13_2021-05-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.3,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2025-04-11_2025-04-15
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-14_2021-07-18
0.0,1,Core PPI m/m,Good,12,9,3,75.0,25.0,3.0,2019-01-12_2019-01-16|2020-01-15_2020-01-19|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2025-04-11_2025-04-15
0.0,1,Core PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2021-01-14_2021-01-18|2022-01-13_2022-01-17|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.0,1,Core PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-09-12_2024-09-16
0.1,1,Core PPI m/m,Good,11,9,2,81.8,18.2,4.5,2019-01-12_2019-01-16|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2025-04-11_2025-04-15
0.1,1,Core PPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2020-01-15_2020-01-19|2021-01-14_2021-01-18|2022-01-13_2022-01-17|2023-05-11_2023-05-15|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.1,1,Core PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2022-09-14_2022-09-18|2023-02-15_2023-02-19
0.2,1,Core PPI m/m,Good,7,6,1,85.7,14.3,6.0,2019-01-12_2019-01-16|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-11-15_2023-11-19|2025-04-11_2025-04-15
